,Title,Authors,Year
0,An efficient real-time emotion detection using camera and facial landmarks,"BT Nguyen, MH Trinh, TV Phan, HD Nguyen",2017
1,Knowledge-based model of expert systems using rela-model,"NV Do, HD Nguyen, A Selamat",2018
2,Designing an intelligent problems solving system based on knowledge about sample problems,"NV Do, HD Nguyen, TT Mai",2013
3,Some criteria of the Knowledge Representation method for an Intelligent Problem Solver in STEM education,"HD Nguyen, NV Do, NP Tran, XH Pham, VT Pham",2020
4,Some Criteria of the Knowledge Representation Method for an Intelligent Problem Solver in STEM Education,"HD Nguyen, NV Do, NP Tran, XH Pham, VT Pham",2020
5,Language-oriented Sentiment Analysis based on the Grammar Structure and Improved Self-attention Network,"HD Nguyen, T Huynh, S Hoang, V Pham, I Zelinka",2020
6,Intelligent tutoring chatbot for solving mathematical problems in High-school,"HD Nguyen, VT Pham, DA Tran, TT Le",2019
7,Some measures to detect the influencer on social network based on Information Propagation,"T Huynh, I Zelinka, XH Pham, HD Nguyen",2019
8,Solving problems on a knowledge model of operators and application,"HD Nguyen, NV Do, VT Pham, K Inoue",2018
9,Intelligent Problem Solver in Education for Discrete Mathematics,"H Nguyen, N Do",2017
10,Detecting the influencer on social networks using passion point and measures of information propagation,"T Huynh, H Nguyen, I Zelinka, D Dinh, XH Pham",2020
11,A Method of Ontology Integration for Designing Intelligent Problem Solvers,"NV Do, HD Nguyen, TT Mai",2019
12,Criteria of a Knowledge model for an Intelligent Problems Solver in Education,"HD Nguyen, NV Do, NP Tran, XH Pham",2018
13,A knowledge model about Relations and Application,"NV Do, HD Nguyen",2012
14,A reasoning method on Computational Network and Its applications,"N Do, H Nguyen",2011
15,Partial Evaluation of Logic Programs in Vector Spaces,"C Sakama, HD Nguyen, T Sato, K Inoue",2018
16,Computing logic programming semantics in linear algebra,"HD Nguyen, C Sakama, T Sato, K Inoue",2018
17,A method for knowledge representation to design Intelligent Problems Solver in mathematics based on Rela-Ops model,"HD Nguyen, NV Do, VT Pham, A Selamat, E Herrera-Viedma",2020
18,A Mathematical Approach for Representing Knowledge about Relations and Its Application,"HD Nguyen, VT Pham, TT Le, DH Tran",2015
19,Build a search engine for the knowledge of the course about Introduction to Programming based on ontology Rela-model,"XT Pham, TV Tran, VT Nguyen-Le, VT Pham, HD Nguyen",2020
